"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated"
"SLC25A4",0.155311096876677,19.9576438386022,1.29833697932415,0.200485713241742,0.51423515238073,-5.34360852742779,0.779122617698596,"SLC25A4",0.345576387119268,0.99999999892378,0.697916570082926,"no"
"SNX21",0.155227473240528,10.1347901014787,1.1560436213482,0.255459535172697,0.566140986931623,-5.37242968713835,0.809096103869457,"SNX21",0.380458154130845,0.99999999892378,0.592677882390206,"no"
"DDRGK1",0.154560478295934,10.4869945842854,1.51255990387743,0.137065187314349,0.421278182331841,-5.06223448879538,0.735534502834443,"DDRGK1",0.283107429642659,0.99999999892378,0.863072836072051,"no"
"HERC4",0.154542444477507,11.9835588087063,1.35461886433567,0.182133275403128,0.490685375813839,-5.26363703880892,0.768597122355638,"HERC4",0.329750462606377,0.99999999892378,0.739610702180003,"no"
"RNF114",0.154397816746352,11.7245639864094,1.30581530384713,0.198229018564518,0.509406469328987,-5.31635163428304,0.778904395937913,"RNF114",0.342331414783479,0.99999999892378,0.702832769225334,"no"
"MAPRE3",0.154286077859563,10.5166786328897,1.32477305880718,0.191768338790989,0.499880760157704,-5.30110342127968,0.775072738692106,"MAPRE3",0.335929946223968,0.99999999892378,0.717223093846257,"no"
"EIF3H",0.154218066892396,12.6599422746388,1.81817465708224,0.0753926548707549,0.317383397354481,-4.59464390061358,0.671218401654513,"EIF3H",0.213288040075867,0.99999999892378,1.12267096320828,"no"
"GART",0.154218010263468,12.587361211969,1.8880397474207,0.0651820258136689,0.292254712940603,-4.47727557260324,0.656322294835633,"GART",0.196401057665961,0.99999999892378,1.18587214607974,"no"
"RPSA",0.154190204267357,13.5106536807385,2.32558574342873,0.0243920486953266,0.174378184915143,-3.65932805267738,0.56406542839943,"RPSA",0.117185654960388,0.99999999892378,1.61275172163339,"no"
"ELOB",0.153833559068508,13.0098901427091,1.56380234059942,0.124550954228417,0.398690050679827,-4.98916515083622,0.725828502359724,"ELOB",0.267927749895099,0.99999999892378,0.904652940832827,"no"
"NUCB1",0.153742265437984,11.9554631390624,1.87331032095599,0.0672309736061031,0.298935172818628,-4.50233519172095,0.66030998345378,"NUCB1",0.200890461352689,0.99999999892378,1.1724305994593,"no"
"SIRT5",0.153650600740756,13.9457485212398,1.13510365257667,0.262068774602463,0.574995644732801,-5.53121282136492,0.814027652444507,"SIRT5",0.386408662644202,0.99999999892378,0.581584721997729,"no"
"CCDC22",0.153536715017838,15.982494058997,1.24546800715874,0.219245620615835,0.535477274092021,-5.39689895778689,0.79215232203025,"CCDC22",0.359851521057021,0.99999999892378,0.659069072814248,"no"
"SPARC",0.15344140345727,11.6551278648817,1.55811348015342,0.126037558484548,0.401497283170618,-4.98795916121927,0.727745376195604,"SPARC",0.269814266710373,0.99999999892378,0.899500018279363,"no"
"LAMTOR5",0.153103972545699,13.8297376949649,1.48618889499633,0.143885006072892,0.432555237234772,-5.09898150922492,0.743171136865966,"LAMTOR5",0.290685837833267,0.99999999892378,0.841984460539297,"no"
"PXDN",0.152684404469735,9.48472801553465,0.627291399929841,0.53612107728464,0.796997221541724,-5.62684038882789,0.909206777252639,"PXDN",0.535598196835375,0.99999999892378,0.270737118407088,"no"
"IGFBP7",0.152657065533946,11.3720657353548,1.04839607863775,0.300292391163328,0.602885072231111,-5.58292745778231,0.832230159424621,"IGFBP7",0.405150920051286,0.99999999892378,0.522455671855779,"no"
"PRELP",0.152427234862719,13.1558653329025,0.850332016634798,0.399437618340281,0.693845171540017,-5.80103909428705,0.869460722182176,"PRELP",0.466277940142492,0.99999999892378,0.398551036440123,"no"
"MMGT1",0.152296979713077,11.6678978599112,0.516802959747614,0.609636430246896,0.839375209811595,-5.76405917319915,0.927399695472306,"MMGT1",0.564077059106622,0.99999999892378,0.214929088613227,"no"
"GCDH",0.152282669174138,12.6774681476229,1.48800788479855,0.143406129606431,0.432555237234772,-5.09646560464127,0.743977635155004,"GCDH",0.290685837833267,0.99999999892378,0.843432285227798,"no"
"STARD10",0.152265332244539,9.59030738496307,0.737120740336567,0.466564219160869,0.746865432449076,-5.6981681042999,0.890403152239468,"STARD10",0.501908624128693,0.99999999892378,0.331088570336173,"no"
"RAB11B",0.152032386305757,15.1730796911723,2.30223711744304,0.0257830753211368,0.178255650241816,-3.70643055454995,0.57341813784068,"RAB11B",0.119791389812563,0.99999999892378,1.58866528266361,"no"
"RNPEP",0.151802943517252,13.0908715394244,1.23529640076338,0.22283957198548,0.53726556867566,-5.41885176459777,0.796202091943692,"RNPEP",0.361053291061381,0.99999999892378,0.652007684373977,"no"
"GMPS",0.151608232064389,11.0129207163992,1.07583878061198,0.288935875372532,0.597186985402718,-5.48845051812596,0.828424747274633,"GMPS",0.401321690854232,0.99999999892378,0.53919853116023,"no"
"TLN1",0.151604068556464,13.2245228130499,2.40155320051177,0.0203189763008762,0.159617462330861,-3.50351258012757,0.553950593603219,"TLN1",0.107266151872491,0.99999999892378,1.69209817621488,"no"
"ALYREF",0.151537521456813,11.1115542856567,1.07082066575218,0.289817857764022,0.597309388370302,-5.58993378124909,0.828880222281333,"ALYREF",0.401403948115554,0.99999999892378,0.537874858031745,"no"
"IMMT",0.151371697521046,16.2749470050996,1.74524115440268,0.0874568357311237,0.340150300678445,-4.71308228028782,0.691540349586697,"IMMT",0.228587857990228,0.99999999892378,1.05820623988131,"no"
"CRYAB",0.151236176881078,19.3589725886866,1.90696642502957,0.0626274492646441,0.285531117653137,-4.44482957625529,0.657699174769313,"CRYAB",0.191882666114669,0.99999999892378,1.20323527619345,"no"
"PFDN6",0.151065173186634,14.472412192283,2.41511699611456,0.0196597852438266,0.156140939002623,-3.47528455078547,0.55235613399911,"PFDN6",0.104929858124492,0.99999999892378,1.70642123054918,"no"
"MTRF1L",0.150849141077339,10.5104915578999,0.954955939448137,0.34577216967971,0.648935396140099,-5.59922175908948,0.851975042647998,"MTRF1L",0.436097665890158,0.99999999892378,0.461209964910929,"no"
"PSMD2",0.150723000552729,13.5826832716983,2.88714332819493,0.00585063566641637,0.0813198062505384,-2.42057644647727,0.460750849621535,"PSMD2",0.0546485488500668,0.99999999892378,2.23279694564103,"no"
"MRPL47",0.150564070180735,10.0649555502672,0.688143603428017,0.498198962591161,0.771378952282662,-5.53980800755092,0.900408812287111,"MRPL47",0.518382203541629,0.99999999892378,0.302597181137938,"no"
"PSPC1",0.150499546133505,10.3767986668564,1.05210411529502,0.29822901595488,0.601675474456207,-5.60718475954886,0.833527624711148,"PSPC1",0.404338045966378,0.99999999892378,0.525450104491184,"no"
"NME2",0.15049152368838,16.0718596702668,2.33419039725392,0.0238965858116545,0.173100142952261,-3.64187538598604,0.570102955018204,"NME2",0.116326785001625,0.99999999892378,1.62166414378313,"no"
"GYG1",0.150219825855364,15.5942543859925,1.96870027472016,0.0548808830536485,0.266326046840936,-4.33709568406858,0.646600529278698,"GYG1",0.178976471439093,0.99999999892378,1.2605789092867,"no"
"ARMC10",0.149755602332716,8.91420843760531,0.808583934325516,0.425534535277833,0.716000881989705,-5.57727588795177,0.879895120438264,"ARMC10",0.481167024126379,0.99999999892378,0.371065187936718,"no"
"RHOA",0.149512992234591,13.987737945382,2.06235948242566,0.0447065904790053,0.2409142062635,-4.16816651327229,0.628366483375134,"RHOA",0.161899202380094,0.99999999892378,1.34962845007418,"no"
"PPIF",0.14947376443877,15.1594990773249,1.24693293045027,0.218580219178388,0.534923192418579,-5.40522545244161,0.796689601656063,"PPIF",0.359479167004618,0.99999999892378,0.660389142891246,"no"
"IPO7",0.14911147795484,12.051064383994,1.5624207927439,0.124875863948624,0.398690050679827,-4.99116386324582,0.733287994381389,"IPO7",0.267927749895099,0.99999999892378,0.903521494106725,"no"
"AKAP1",0.148933852684465,11.4054555070635,1.49767740358989,0.140881632238826,0.427089112244518,-5.08304459058745,0.746853813402017,"AKAP1",0.287012491666773,0.99999999892378,0.851145625324361,"no"
"KPNA6",0.148678882867555,10.7385710356506,1.13356845353469,0.263535966182086,0.576459932096324,-5.46985487511668,0.820145908130695,"KPNA6",0.387392693266083,0.99999999892378,0.579160105884074,"no"
"ERO1A",0.148617483060091,12.3076343123427,1.60158586947304,0.115925976248735,0.388621615726863,-4.93389042658012,0.725973720941184,"ERO1A",0.261161558671333,0.99999999892378,0.935819238087726,"no"
"MTOR",0.148481880649934,10.2765430414827,1.59420819115044,0.11786590895637,0.390583236231282,-4.92552817296476,0.727977530918004,"MTOR",0.262479807187945,0.99999999892378,0.928611790266,"no"
"LSS",0.148354370011207,13.346731986721,0.859744398295285,0.394279872469488,0.692538849492862,-5.79331161588456,0.871035483269019,"LSS",0.465400065397096,0.99999999892378,0.404195392590859,"no"
"CALR",0.148251761598132,14.7084405604294,2.01911810870465,0.0491801244166403,0.250064018859213,-4.24697220842602,0.6398166050763,"CALR",0.168048060864401,0.99999999892378,1.30821037691101,"no"
