"","protein","cor","p_value"
"AP1G1","AP1G1",-0.139841380865266,0.495653233347659
"SYNGR1","SYNGR1",0.213236559194972,0.249416167270092
"SGTA","SGTA",-0.0914440786065945,0.554957183574386
"ENSA","ENSA",0.00346624334461538,0.98218424926513
"SLC25A20","SLC25A20",-0.0999202803177597,0.518711120753716
"NARS1","NARS1",0.330513367860486,0.0284334295687063
"MYO1B","MYO1B",0.100080327916156,0.619417935586587
"LANCL1","LANCL1",0.0748994265731091,0.628951275022804
"STRN","STRN",0.0349749776403543,0.880364832615907
"SLC37A4","SLC37A4",0.0184129699623906,0.905567196580793
"IDH3B","IDH3B",0.049903679903201,0.74768417147463
"NRDC","NRDC",0.296006209074445,0.0569954381462285
"CALU","CALU",-0.0632329537983718,0.683439975235633
"AHCYL1","AHCYL1",0.213784229472136,0.232237446807931
"NDUFS5","NDUFS5",-0.075788640372852,0.624872425056243
"TIMM8A","TIMM8A",-0.0236908899282631,0.878678327629233
"PPP1R12B","PPP1R12B",0.0962899339321978,0.534089785708199
"PRPSAP2","PRPSAP2",0.0503334574296349,0.745583403133414
"PRKN","PRKN",0.0360964674308757,0.816056794564151
"SPAG9","SPAG9",0.168954540187582,0.278776610183091
"OPA1","OPA1",0.0906017744579182,0.558623117025355
"TBC1D4","TBC1D4",0.0327629919882325,0.832789532891593
"SNX3","SNX3",0.0769515118830372,0.619554979680847
"SYNCRIP","SYNCRIP",-0.0685840074177482,0.658229052777321
"DIAPH1","DIAPH1",0.214019893606144,0.168173683847054
"KLHL41","KLHL41",0.0958943298028326,0.535778923765323
"PLIN3","PLIN3",-0.154026268104264,0.318155749611645
"KPNA6","KPNA6",0.270677992910433,0.100242574787023
"UGDH","UGDH",-0.0359500954486174,0.816789887453252
"ABCC9","ABCC9",0.0724127676057728,0.693692691317682
"CTNND1","CTNND1",0.217441379315147,0.285953012307936
"EIF1B","EIF1B",-0.00412169771063558,0.980406586884645
"SNX2","SNX2",-0.022003320221791,0.88726261861526
"USO1","USO1",0.218071896919873,0.155008085892671
"MRPS14","MRPS14",0.303224564649748,0.159579186329629
"TOM1","TOM1",-0.000455264893742663,0.997659851449677
"H2BC12","H2BC12",0.107692427851361,0.486545643447689
"PFKFB2","PFKFB2",-0.0631688510542864,0.769342178371566
"CCDC22","CCDC22",-0.0370532470275685,0.813513706773228
"EIF5B","EIF5B",0.0117722352524661,0.942525804012167
"EDF1","EDF1",-0.0557898907533869,0.719075251142768
"DNAJA2","DNAJA2",-0.0348825795403327,0.822141094274243
"CUTA","CUTA",-0.0538029875037974,0.728692129619012
"PFDN1","PFDN1",-0.0894053494200749,0.563849687706081
"NOL3","NOL3",-0.0408767229077382,0.792203953867798
"ABCB7","ABCB7",-0.114410944322036,0.487975596753236
"WDR1","WDR1",0.241213873478873,0.114712452510841
"LDB3","LDB3",-0.0697986606750031,0.652556895455976
"CLASP2","CLASP2",0.130014571687696,0.400252555145127
"COBL","COBL",0.166516061077009,0.509007091761507
"CPNE3","CPNE3",0.0330412800436489,0.833403119927282
"CLUH","CLUH",0.380497416287994,0.0108369398647904
"CAND2","CAND2",-0.0110598871792846,0.943196315314839
"PPP6R2","PPP6R2",-0.0294186229227894,0.860821599262228
"COQ9","COQ9",-0.0598072021805681,0.699762690837484
"GGCT","GGCT",0.0632139324199435,0.683530222283449
"NDUFS7","NDUFS7",0.0521669381598621,0.736641915163083
"RTN2","RTN2",0.0529104781380184,0.733025528328336
"NDUFS2","NDUFS2",0.0150734579275165,0.922636648902443
"NIPSNAP2","NIPSNAP2",0.0603754020955322,0.697045878616509
"PPFIA4","PPFIA4",0.0527326164369211,0.733890085615142
"PDCD6","PDCD6",-0.231979886315207,0.129712498339515
"TBCA","TBCA",0.148163981924324,0.337142422504616
"ATP6V1G1","ATP6V1G1",0.0448538520127625,0.772499497093367
"MPDU1","MPDU1",-0.0510459990335389,0.785075900204305
"MACROH2A1","MACROH2A1",0.126624332434359,0.412755022631798
"SH3BGRL","SH3BGRL",0.229887508290524,0.20560814370092
"FLNB","FLNB",0.0545724329971503,0.724962932169341
"NDUFS6","NDUFS6",-0.047990419052684,0.757057997629711
"PEX14","PEX14",-0.26285736131101,0.249653778835417
"CS","CS",0.122946538358519,0.426566740960601
"SEC22B","SEC22B",-0.00287628969776736,0.985216116285878
"PRPF40A","PRPF40A",0.175440769466891,0.412223441504262
"MTX2","MTX2",-0.0053109360461961,0.972705868671327
"VPS26A","VPS26A",0.254431237807265,0.0996659075550299
