"","s02_t1_post","s02_t2_post","s03_t1_post","s03_t2_post","s05_t1_post","s05_t2_post","s08_t1_post","s08_t2_post","s11_t1_post","s11_t2_post","s13_t1_post","s13_t2_post","s14_t1_post","s14_t2_post","s15_t1_post","s15_t2_post","s16_t1_post","s16_t2_post","s17_t1_post","s17_t2_post","s18_t1_post","s18_t2_post","s20_t1_post","s20_t2_post","s21_t1_post","s21_t2_post","s22_t1_post","s22_t2_post","s23_t1_post","s23_t2_post","s24_t1_post","s24_t2_post","s25_t1_post","s25_t2_post","s26_t1_post","s26_t2_post","s27_t1_post","s27_t2_post","s28_t1_post","s28_t2_post","s29_t1_post","s29_t2_post","s30_t1_post","s30_t2_post","s31_t1_post","s31_t2_post"
"EPDR1",-0.592053619922199,-0.0512250209377001,0.108202001007701,0.538346021920701,-0.1640224575914,-0.209795485161399,0.1821486392205,-0.176765676625099,0.0284273107653998,-0.0548930861850998,0.5509835792573,0.520034118936699,-0.1434053977351,-0.211222576865,-0.00536404851290051,-0.3531477438033,0.3809025425324,-0.2239422011748,-0.0231212355013994,0.155366730467801,-0.280636307018399,0.0348346756682005,-0.259865784805301,0.0279753712312996,-0.2199067056281,-0.0228115424050994,-0.2969660495006,-0.0259301030647006,-0.0220860168662007,-0.142172274896,0.0489638259744005,0.0207118594668998,0.109379642882699,0.093217091453301,0.0396537032102007,-0.1696857011936,0.4097580283673,-0.1333414731742,0.126473199494001,0.1617376100446,0.4694186722335,0.1023011790576,-0.1308652515249,-0.0461269546059011,-0.2537907552042,-0.255075986388301
"DDX19B",-0.2895608912822,0.0782536411754986,-0.0317998909987995,0.1269001665683,-0.2458087118635,0.1340497224231,-0.2480900137419,0.0617054744803998,0.000770906666200943,-0.203689164527901,0.0768244850288013,-0.2002733748932,-0.00254388745059941,-0.181690646423501,0.4201981116375,-0.231111088670001,-0.378366436937601,0.293388787200401,-0.1108654377697,-0.0906335896129988,-0.2592757812806,-0.216708711197999,0.112702402755,-0.0933209776683004,0.225029226144599,0.0295545544899003,0.1600640170024,-0.1509410417484,0.0091252958889001,0.271480073491301,-0.112563989308899,-0.2566598165611,-0.1068775246885,0.106910733672699,0.468597556589101,-0.0737710523193016,0.0721334381440002,-0.248106394157301,0.0545831931638006,0.0878489956435011,0.171196990956901,0.1732937001651,0.6867863664936,-0.0819758802560013,0.0955394278644999,0.0982469359401001
"NFU1",-0.2733596655579,-0.00504665378150015,0.2485012678133,0.881998361516899,0.196632359814901,-0.0585915232498007,0.179078745352401,0.1187938770633,0.0137029382651992,0.389251251363701,0.183331995912299,-0.2099522480858,0.3948914659066,0.4621191924904,0.0683054372478011,-0.321115567638101,-0.350032613224,0.277388548964799,0.165894842252701,-0.1574078200935,-0.2607242823413,-0.0831976265004997,-0.4509724744271,-0.147587211461198,0.365127008130999,-0.1639812177986,-0.235655374361299,-0.5204836889978,0.6492090828607,0.192551116613402,-0.474488350007901,0.389622985491901,0.379349755788802,0.571181090953699,0.2333287294533,-0.0896636843036998,-0.1502824616217,-0.0162836890779996,-0.126700793506,-0.1809885447104,0.0536263307976999,0.0543308997474004,0.599780418737501,0.150455876855801,-0.0684391035314,-0.0815124026701994
"PRPF19",0.1022086197809,0.5245153035867,-0.2584798331384,NA,0.247719416035199,-0.0485075843001006,0.260905893088031,-0.3321300399286,-0.2410809009332,-0.387756269937599,NA,-0.479107928695599,-0.379282102737101,0.4072490471073,-0.2718455956543,0.458934693106499,-0.9511563375313,1.52256831336752,NA,0.0749247847961989,-0.171736640288401,0.729399777312599,0.392924216234109,-0.685846319234001,-0.0336833511028996,-0.0732192003735008,NA,-0.507340928603099,-0.0628778559518004,-0.2838197616203,-0.1472002337263,-0.759218741940201,0.1991294594431,-0.791266703335701,-0.3088605157965,NA,-0.245436399769801,NA,0.0392968920073997,1.0062533062489,NA,0.159411200016661,NA,-0.492798161021501,0.6247473737611,0.2213803105697
"SYNPO2",-0.112542959559299,-0.346192600047701,0.0461551208313011,0.1266530918382,0.162145584777498,-0.163996400479402,0.135250690331699,0.5983045264814,-0.0810258852120995,0.217922953440699,0.588552266628302,0.595417295630501,0.358489173565999,0.494375279414598,0.2047950357247,0.533794048025499,0.3581453020368,0.208091203065703,0.179375064004802,0.538363683948898,0.4821726555742,0.363830298670997,0.174246879978,0.333421772729597,0.0291636115288014,0.2608865542914,0.500913756858097,-0.3868824226439,0.0640437287026998,0.0156093480088977,0.206830971663202,-0.233602780269401,-0.164487041118001,-0.0105345643645975,0.720081096992299,0.3681559968865,0.375509745405598,0.0734889998454022,0.3922188163626,0.366842059815301,0.1805011307085,-0.3841167123982,0.7935686587572,0.391559589646302,0.144231832570402,0.258290508022899
"UBQLN1",0.0572688482059007,-0.273856966417599,-0.3477805270294,0.2109303825443,0.339560819162699,0.107408364877701,0.2846492147319,-0.232709348878501,0.345290652129401,-0.1265956583012,-0.3978353965305,0.307676065097899,0.206274304914499,-0.0606727253608987,0.256423144820699,-0.2831259029496,0.1551947433887,0.3489327422364,0.0941051736318013,0.6651656287282,0.3245707580817,0.0372370815052996,0.432744977330099,-0.1175861288962,0.0649475366168009,0.163330830255399,-0.4201555183698,0.0230915152947997,-0.1341394471409,-0.235409865414999,-0.282443951152,0.157643187772599,0.0787888170584008,-0.0702586941653998,0.627751137126801,0.432474384871501,0.119563089883,0.1300488188238,-0.0616220465807,0.163403960415799,-0.9827096580527,0.288977496943001,0.395102278138801,0.0450478349745005,0.1461302012386,0.211110223671
"SNX12",NA,0.0198836905336002,NA,-0.4991703157551,NA,NA,-0.439506819606699,NA,1.1660764136391,0.126857654736598,NA,-0.3470863838065,NA,0.00434070025730016,NA,0.0381003024144988,0.0218915583173001,NA,0.0659163575463992,-0.175957128491399,0.0417928925898003,-0.4799834959945,0.875718462389599,-0.228363758914801,NA,0.181576967876699,NA,-0.477111218899401,0.294769026799999,NA,NA,NA,0.1673404730924,-0.269343530117201,-0.2479563284225,NA,0.45198939948,NA,NA,-0.357470510433499,0.245279683327301,-1.4755912120143,0.103474017056501,NA,NA,-0.1152343439744
"SYNRG",1.8252710806274,-0.735863760351101,0.00353220932380083,-0.905159307318701,-0.267456894565001,-0.3329004371558,-0.0384541841928989,-0.7450778159461,-0.0666330349540996,-0.622570349744898,1.3019641653741,1.3518291510269,-0.00133819126130064,0.971525754791001,-0.423107664452401,-0.311876943666803,-0.9010050717069,0.356402596599899,0.870594641627198,1.3910935563333,-0.239232768119599,0.6125397506536,-0.876737534110099,-1.5265129614318,0.591694747032399,-0.485930685122998,0.219128231159599,-1.0906388112002,1.0519298120189,0.105788774484001,-1.4227189048101,-0.185873711028101,-0.900917237416699,-0.101364744229098,-0.0701591318182011,0.0130846568291005,-0.1304192535904,-0.957771388522499,-1.4643086411286,0.039809662398401,0.662239038432199,-0.0378250484818992,2.0434257042532,-0.3342365382737,-0.891948404431998,0.415182935565699
"NDRG2",-0.0368907927276005,-0.105437477576402,0.172126054250501,0.512397124539397,0.1879940922875,0.176581982486098,-0.0595243631928,0.2008003186038,-0.307579777603198,-0.139290197106902,0.654673262148801,0.6734804937217,0.213162910777299,0.408224994535301,-0.169447578602298,-0.00216564869629821,0.152501541893301,0.149489671976703,0.0939294386505019,0.0241198683761006,-0.250616078783899,0.2376050150114,-0.038892113672599,0.4693387046852,-0.0723258609633994,0.364776430678099,0.131256787316399,0.093871556937998,-0.0340141291641984,-0.168564785008801,0.483323229904602,0.166468972878501,0.279408365997202,-0.0699507601346987,-0.0463243534805997,0.0390928678561018,-0.364887778117001,-0.3703497296189,0.2002510614386,0.312405600363302,0.0436957287999,-0.1053529737795,1.0551148417543,-0.0270667476825999,-0.0803049603246002,-0.00256777598280067
"VPS4A",0.838326898295501,-0.3963584552121,0.00702469917620085,0.00284961381590065,0.122528417137101,0.1219720854237,-0.219637243139299,0.0181652198617996,-0.0439680272498002,-0.0570865919401999,0.342659206639501,0.3973669363697,-0.3229335735309,0.1608052516463,-0.235336254396101,-0.5402277115227,-0.1526746618798,-0.0314676749793001,-0.00301549561280012,-0.514642442875701,-0.326841617859701,0.0350255811886999,-0.1232238762052,0.173277202579801,-0.376780734510799,-0.0491178925905995,-0.1822888519584,-0.0486891577210002,-0.0348634298157009,0.0327517549783014,0.188143962811401,-0.142900829126798,-0.201941523095899,-0.3510109923374,-0.00493485111210035,-0.388686563683899,-0.0484727117205015,-0.2235338813552,-0.026475393801201,0.0144136845795,0.454889783177,-0.196342762947799,0.919295742808499,-0.2386526910173,0.0581542463815001,-0.1701136452282
